District Name,School Name,Organization Type,Organization Code,Address,Town,Zipcode,Phone,PreKindergarten,Kindergarten,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,Student Open Date,Interdistrict Magnet,Location
Unified School District #1,York Correctional Institution,State Agency Facilities,3362515,201 West Main St.,Niantic,06357,860-451-3228,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2000-07-01T00:00:00.000,0,"201 West Main St.
Niantic, CT 06357
(41.319107686, -72.235159888)"
Great Oaks Charter School District,Great Oaks Charter School District,Public Charter School Districts,2940013,375 Howard Avenue,Bridgeport,06605,203-870-8188,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2014-08-28T00:00:00.000,,"375 Howard Avenue
Bridgeport, CT 06605
(41.167212017, -73.208564004)"
Southington School District,Zaya A. Oshana Elementary School,Public Schools,1310611,70 Church Street,Southington,06479,860-628-3450,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"70 Church Street
Southington, CT 06479
(41.589493012, -72.896007026)"
Brookfield School District,Brookfield School District,Public School Districts,0180011,100 Pocono Road,Brookfield,06804,203-775-7700,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1996-07-01T00:00:00.000,0,"100 Pocono Road
Brookfield, CT 06804
(41.467159009, -73.398507989)"
Milford School District,Harborside Middle School,Public Schools,0845211,175 High St.,Milford,06460-3250,203-783-3523,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1997-07-01T00:00:00.000,0,"175 High St.
Milford, CT 06460-3250
(41.22411198, -73.060012959)"
Capitol Region Education Council,Reggio Magnet School of the Arts,Regional Education Service Center Schools,2410314,59 Waterville Road,Avon,06001,860-674-8549,1,1,1,1,1,1,1,0,0,0,0,0,0,0,2008-09-02T00:00:00.000,1,"59 Waterville Road
Avon, CT 06001
(41.801055014, -72.820590014)"
Hamden School District,Hamden Middle School,Public Schools,0625211,2623 Dixwell Ave.,Hamden,06518,203-407-3140,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1984-07-01T00:00:00.000,0,"2623 Dixwell Ave.
Hamden, CT 06518
(41.379617993, -72.912076978)"
The Woodstock Academy District,The Woodstock Academy,Endowed and Incorporated Academies Schools,9036122,57 Academy Rd.,Woodstock,06281,860-928-6575,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2000-07-01T00:00:00.000,0,"57 Academy Rd.
Woodstock, CT 06281
(41.951694997, -71.974856989)"
Tolland School District,Tolland High School,Public Schools,1426111,1 Eagle Hill,Tolland,06084-3323,860-870-6818,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1984-07-01T00:00:00.000,0,"1 Eagle Hill
Tolland, CT 06084-3323
(41.869513478, -72.347086798)"
Waterbury School District,Reed School,Public Schools,1513411,33 Griggs Street,Waterbury,06704,203-574-8180,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2012-08-27T00:00:00.000,0,"33 Griggs Street
Waterbury, CT 06704
(41.565986006, -73.027283974)"
Guilford School District,Calvin Leete School,Public Schools,0600411,280 South Union St.,Guilford,06437-2825,203-453-2726,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"280 South Union St.
Guilford, CT 06437-2825
(41.28289498, -72.668841021)"
Norwalk School District,Center for Global Studies,Public Schools,1030511,300 Highland Avenue,Norwalk,06854,203-852-9488,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2016-08-30T00:00:00.000,1,"300 Highland Avenue
Norwalk, CT 06854
(41.085690004, -73.433214013)"
Regional School District 05,Regional School District 05,Regional School Districts,2050012,25 Newton Road,Woodbridge,06525,203-397-4811,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2002-07-01T00:00:00.000,0,"25 Newton Road
Woodbridge, CT 06525
(41.357913013, -73.005691018)"
Enfield School District,Enfield School District,Public School Districts,0490011,1010 Enfield Street,Enfield,06082,860-253-6500,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1996-07-01T00:00:00.000,0,"1010 Enfield Street
Enfield, CT 06082
(41.993871979, -72.595005004)"
Waterbury School District,Wendell L. Cross School,Public Schools,1510811,1255 Hamilton Ave.,Waterbury,06706-2306,203-574-8171,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1984-07-01T00:00:00.000,0,"1255 Hamilton Ave.
Waterbury, CT 06706-2306
(41.533312007, -73.012099989)"
New Britain School District,House of Arts Letters and Science (HALS) Academy,Public Schools,0895411,40 Goodwin St,New Britain,06051,860-826-1866,0,0,0,0,0,0,0,1,1,1,0,0,0,0,2006-07-01T00:00:00.000,0,"40 Goodwin St
New Britain, CT 06051
(41.66542702, -72.761631959)"
Regional School District 16,Long River Middle School,Regional Schools,2165112,38 Columbia Ave.,Prospect,06712-1638,203-758-4421,0,0,0,0,0,0,0,1,1,1,0,0,0,0,2002-07-01T00:00:00.000,0,"38 Columbia Ave.
Prospect, CT 06712-1638
(41.504163016, -72.975925036)"
Weston School District,Weston School District,Public School Districts,1570011,24 School Road,Weston,06883,203-221-6550,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1996-07-01T00:00:00.000,0,"24 School Road
Weston, CT 06883
(41.21490548, -73.380963288)"
Middletown School District,Middletown High School,Public Schools,0836211,200 LaRosa Lane,Middletown,06457,860-704-4500,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1984-07-01T00:00:00.000,0,"200 LaRosa Lane
Middletown, CT 06457
(41.577100997, -72.679913013)"
East Lyme School District,East Lyme Middle School,Public Schools,0455111,31 Society Rd.,Niantic,06357,860-739-4491,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1984-07-01T00:00:00.000,0,"31 Society Rd.
Niantic, CT 06357
(41.34708806, -72.215170579)"
West Hartford School District,Norfeldt School,Public Schools,1551011,35 Barksdale Rd.,West Hartford,06117-1605,860-233-4421,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"35 Barksdale Rd.
West Hartford, CT 06117-1605
(41.794610001, -72.763626013)"
Andover School District,Andover School District,Public School Districts,0010011,35 School Road,Andover,06232,860-742-7339,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1996-07-01T00:00:00.000,0,"35 School Road
Andover, CT 06232
(41.728584995, -72.366581965)"
Unified School District #1,Brooklyn Correctional Institution,State Agency Facilities,3360215,59 Hartford Rd,Brooklyn,06234-9801,860-779-2600,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2000-07-01T00:00:00.000,0,"59 Hartford Rd
Brooklyn, CT 06234-9801
(41.784515005, -71.954352004)"
South Windsor School District,Timothy Edwards School,Public Schools,1325111,100 Arnold Way,South Windsor,06074-3028,860-648-5030,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1984-07-01T00:00:00.000,0,"100 Arnold Way
South Windsor, CT 06074-3028
(41.826470286, -72.525508968)"
New Haven School District,King/Robinson Magnet School,Public Schools,0933011,150 Fournier St.,New Haven,06511,475-220-2700,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2004-07-01T00:00:00.000,1,"150 Fournier St.
New Haven, CT 06511
(41.334044999, -72.939944962)"
Oxford School District,Oxford School District,Public School Districts,1080011,462 Oxford Road,Oxford,06478,203-888-7754,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1996-07-01T00:00:00.000,0,"462 Oxford Road
Oxford, CT 06478
(41.438717996, -73.118624004)"
Bristol School District,Edgewood Pre-K Academy,Public Schools,0170411,345 Mix St.,Bristol,06010,860-584-7072,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2014-08-28T00:00:00.000,,"345 Mix St.
Bristol, CT 06010
(41.700488018, -72.923857995)"
Capitol Region Education Council,CREC Preschool at Progress Drive,Regional Education Service Center Schools,2412114,123 Progress Drive,Wethersfield,06109,860-240-6615,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-07-03T00:00:00.000,1,"123 Progress Drive
Wethersfield, CT 06109
(41.702671001, -72.699727999)"
Milford School District,Jonathan Law High School,Public Schools,0846211,20 Lansdale Ave.,Milford,06460-5199,203-783-3574,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1984-07-01T00:00:00.000,0,"20 Lansdale Ave.
Milford, CT 06460-5199
(41.203755984, -73.090397023)"
Hartford School District,Kinsella Magnet School of Performing Arts: High School Campus,Public Schools,0641710,415 Granby Street,Hartford,06112,860-695-2040,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2022-07-01T00:00:00.000,1,"415 Granby Street
Hartford, CT 06112
(41.800447997, -72.708521035)"
Unified School District #2,Albert J. Solnit Children's Center - North Campus,State Agency Facilities,3470115,36 Gardner St.,East Windsor,06088,860-292-4048,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2000-07-01T00:00:00.000,0,"36 Gardner St.
East Windsor, CT 06088
(41.931805998, -72.613236985)"
Lebanon School District,Lyman Memorial High School,Public Schools,0716211,917 Exeter Rd.,Lebanon,06249-1742,860-642-7567,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1992-07-01T00:00:00.000,0,"917 Exeter Rd.
Lebanon, CT 06249-1742
(41.62312301, -72.239590014)"
Wethersfield School District,Emerson-Williams School,Public Schools,1590211,461 Wells Rd.,Wethersfield,06109-2867,860-571-8360,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"461 Wells Rd.
Wethersfield, CT 06109-2867
(41.703100992, -72.68068398)"
Danbury School District,Stadley Rough School,Public Schools,0341611,25 Karen Rd.,Danbury,06811-3218,203-797-4773,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"25 Karen Rd.
Danbury, CT 06811-3218
(41.433189818, -73.427616078)"
Office of Early Childhood (OEC),Office of Early Childhood (OEC),State Agencies,3490015,460 Capitol Avenue,Hartford,06106,860-418-6148,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2000-07-01T00:00:00.000,0,"460 Capitol Avenue
Hartford, CT 06106
(41.764129001, -72.691443997)"
New Canaan School District,East School,Public Schools,0900411,54 Little Brook Rd.,New Canaan,06840-4999,203-594-4219,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"54 Little Brook Rd.
New Canaan, CT 06840-4999
(41.147946003, -73.48011403)"
Highville Charter School District,Highville Charter School District,Public Charter School Districts,2860013,1 Science Park,New Haven,06511,203-287-0528,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2007-07-01T00:00:00.000,0,"1 Science Park
New Haven, CT 06511
(41.323449016, -72.926086994)"
New London School District,C.B. Jennings International Elementary Magnet,Public Schools,0950311,50 Mercer Street,New London,06320,860-447-6050,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,1,"50 Mercer Street
New London, CT 06320
(41.35699592, -72.104784851)"
Southington School District,William M. Strong Elementary School,Public Schools,1310811,820 Marion Ave.,Plantsville,06479-1461,860-628-3314,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"820 Marion Ave.
Plantsville, CT 06479-1461
(41.572093019, -72.917973983)"
Windsor School District,Poquonock Elementary School,Public Schools,1640511,1760 Poquonock Ave.,Windsor,06095-1227,860-687-2080,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"1760 Poquonock Ave.
Windsor, CT 06095-1227
(41.904195003, -72.67817997)"
Canton School District,Canton Intermediate School,Public Schools,0230311,39 Dyer Ave.,Canton,06019,860-693-7717,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"39 Dyer Ave.
Canton, CT 06019
(41.822269988, -72.919080981)"
Plymouth School District,Plymouth School District,Public School Districts,1110011,27 N Harwinton Ave,Terryville,06786,860-314-8005,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1996-07-01T00:00:00.000,0,"27 N Harwinton Ave
Terryville, CT 06786
(41.687877258, -73.031896566)"
Seymour School District,Chatfield-LoPresti School,Public Schools,1240211,51 Skokorat St.,Seymour,06483,203-888-4640,0,1,1,1,1,1,1,0,0,0,0,0,0,0,2012-09-05T00:00:00.000,0,"51 Skokorat St.
Seymour, CT 06483
(41.402895, -73.056624994)"
East Hartford School District,Sunset Ridge Middle School,Public Schools,0432411,450 Forbes St.,East Hartford,06118,860-622-5800,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1999-07-01T00:00:00.000,0,"450 Forbes St.
East Hartford, CT 06118
(41.764844019, -72.59887803)"
Fairfield School District,Fairfield Warde High School,Public Schools,0516211,755 Melville Ave.,Fairfield,06825,203-255-8449,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1984-07-01T00:00:00.000,0,"755 Melville Ave.
Fairfield, CT 06825
(41.186697009, -73.234227967)"
Regional School District 14,Bethlehem Elementary School,Regional Schools,2140112,92 East St.,Bethlehem,06751-1802,203-266-7506,1,1,1,1,1,1,1,0,0,0,0,0,0,0,2002-07-01T00:00:00.000,0,"92 East St.
Bethlehem, CT 06751-1802
(41.638916988, -73.199629985)"
Winchester School District,Pearson School,Public Schools,1625111,2 Wetmore Ave.,Winsted,06098-1242,860-379-7588,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1997-07-01T00:00:00.000,0,"2 Wetmore Ave.
Winsted, CT 06098-1242
(41.926073992, -73.067573017)"
Greenwich School District,North Street School,Public Schools,0570811,381 North St.,Greenwich,06830-3903,203-869-6756,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"381 North St.
Greenwich, CT 06830-3903
(41.057936014, -73.619031)"
Shelton School District,Perry Hill Elementary School,Public Schools,1261111,60 Perry Hill Road,Shelton,06484,203-924-4002,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2010-09-01T00:00:00.000,0,"60 Perry Hill Road
Shelton, CT 06484
(41.310959981, -73.100349024)"
Regional School District 15,Gainfield Elementary School,Regional Schools,2150412,307 Old Field Rd.,Southbury,06488,203-264-5312,1,1,1,1,1,1,1,0,0,0,0,0,0,0,2002-07-01T00:00:00.000,0,"307 Old Field Rd.
Southbury, CT 06488
(41.47927899, -73.223197969)"
Ansonia School District,Ansonia Middle School,Public Schools,0025111,115 Howard Ave.,Ansonia,06401,203-736-5070,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1997-07-01T00:00:00.000,0,"115 Howard Ave.
Ansonia, CT 06401
(41.341123013, -73.084294998)"
Vernon School District,Rockville High School,Public Schools,1466111,70 Loveland Hill,Vernon,06066-2304,860-870-6050,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1984-07-01T00:00:00.000,0,"70 Loveland Hill
Vernon, CT 06066-2304
(41.856692998, -72.480542992)"
Judicial Centers,REGIONS secure Bridgeport,State Agency Facilities,3481715,60 Housatonic Ave,Bridgeport,06604,203-579-6548,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2018-07-02T00:00:00.000,,"60 Housatonic Ave
Bridgeport, CT 06604
(41.182299988, -73.187938991)"
Meriden School District,Nathan Hale School,Public Schools,0800711,277 Atkins St. Ext.,Meriden,06450-3408,203-237-7486,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"277 Atkins St. Ext.
Meriden, CT 06450-3408
(41.542931357, -72.774615534)"
Cheshire School District,Cheshire School District,Public School Districts,0250011,29 Main Street,Cheshire,06410,203-250-2400,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1996-07-01T00:00:00.000,0,"29 Main Street
Cheshire, CT 06410
(41.499783011, -72.902074015)"
Ellington School District,Ellington Middle School,Public Schools,0485111,46 Middle Butcher Rd.,Ellington,06029,860-896-2339,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1984-07-01T00:00:00.000,0,"46 Middle Butcher Rd.
Ellington, CT 06029
(41.879175986, -72.459617989)"
Common Ground High School District,Common Ground High School District,Public Charter School Districts,2680013,358 Springside Ave.,New Haven,06515,203-389-0823,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1999-07-01T00:00:00.000,0,"358 Springside Ave.
New Haven, CT 06515
(41.337869997, -72.959082021)"
Hartford School District,Global Communications Academy,Public Schools,0643611,85 Edwards Street,Hartford,06112-1826,860-695-6020,0,1,1,1,1,1,1,1,1,1,0,0,0,0,2008-08-25T00:00:00.000,0,"85 Edwards Street
Hartford, CT 06112-1826
(41.774956995, -72.682314009)"
Wallingford School District,Highland School,Public Schools,1480211,200 Highland Avenue,Wallingford,06492-2135,203-294-3970,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"200 Highland Avenue
Wallingford, CT 06492-2135
(41.488210997, -72.839492966)"
Mansfield School District,Mansfield Elementary School,Public Schools,0780111,134 Warrenville Rd.,Mansfield,06250-1229,860-423-1611,1,1,1,1,1,1,0,0,0,0,0,0,0,0,2023-07-01T00:00:00.000,,"134 Warrenville Rd.
Mansfield, CT 06250-1229
(41.77313699, -72.192147017)"
Norwich School District,Kelly STEAM Magnet Middle School,Public Schools,1045111,25 Mahan Dr.,Norwich,06360-2425,860-823-4211,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1984-07-01T00:00:00.000,0,"25 Mahan Dr.
Norwich, CT 06360-2425
(41.546653985, -72.079576967)"
New Britain School District,Northend Elementary School,Public Schools,0890911,160 Bassett St.,New Britain,06051-3419,860-223-3819,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"160 Bassett St.
New Britain, CT 06051-3419
(41.656532982, -72.779412993)"
North Haven School District,Montowese Elementary School,Public Schools,1010211,145 Fitch St.,North Haven,06473-3706,203-239-2564,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"145 Fitch St.
North Haven, CT 06473-3706
(41.354702022, -72.850645859)"
Fairfield School District,North Stratfield School,Public Schools,0511611,190 Putting Green Rd.,Fairfield,06825,203-255-8322,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"190 Putting Green Rd.
Fairfield, CT 06825
(41.206847984, -73.24991604)"
Plainville School District,Plainville School District,Public School Districts,1100011,1 Central Square,Plainville,06062,860-793-3200,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1996-07-01T00:00:00.000,0,"1 Central Square
Plainville, CT 06062
(41.671704981, -72.866954009)"
East Haddam School District,Nathan Hale-Ray High School,Public Schools,0416111,15 School Drive,Moodus,06469-0404,860-873-5065,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1994-08-01T00:00:00.000,0,"15 School Drive
Moodus, CT 06469-0404
(41.492407216, -72.445764095)"
Newtown School District,Hawley Elementary School,Public Schools,0970111,29 Church Hill Rd.,Newtown,06470-1644,203-426-7666,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"29 Church Hill Rd.
Newtown, CT 06470-1644
(41.415188988, -73.302928979)"
Regional School District 07,Regional School District 07,Regional School Districts,2070012,100 Battistoni Drive,Winsted,06098,860-379-1084,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2002-07-01T00:00:00.000,0,"100 Battistoni Drive
Winsted, CT 06098
(41.914618989, -73.047962968)"
Trumbull School District,Madison Middle School,Public Schools,1445111,4630 Madison Ave.,Trumbull,06611-1732,203-452-4499,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1984-07-01T00:00:00.000,0,"4630 Madison Ave.
Trumbull, CT 06611-1732
(41.254000003, -73.244013001)"
Stamford Charter School for Excellence District,Stamford Charter School for Excellence,Public Charter Schools,2960113,1 Schuyler Ave.,Stamford,06902,203-989-0000,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2015-09-08T00:00:00.000,,"1 Schuyler Ave.
Stamford, CT 06902
(41.052968018, -73.547365979)"
Avon School District,Roaring Brook School,Public Schools,0040311,30 Old Wheeler Ln.,Avon,06001-4061,860-404-4810,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"30 Old Wheeler Ln.
Avon, CT 06001-4061
(41.79274398, -72.889560001)"
Regional School District 15,Memorial Middle School,Regional Schools,2155212,1 Memorial Dr,Middlebury,06762,203-758-2496,0,0,0,0,0,0,0,1,1,1,0,0,0,0,2002-07-01T00:00:00.000,0,"1 Memorial Dr
Middlebury, CT 06762
(41.542604527, -73.094589749)"
Hartford School District,Weaver High School,Public Schools,0646311,415 Granby St.,Hartford,06112-1398,860-695-1640,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2019-07-01T00:00:00.000,0,"415 Granby St.
Hartford, CT 06112-1398
(41.800447997, -72.708521035)"
Hartford School District,Hartford Public High School,Public Schools,0646211,55 Forest Street,Hartford,06105,860-695-1300,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2019-07-01T00:00:00.000,0,"55 Forest Street
Hartford, CT 06105
(41.765037012, -72.701268006)"
Bridgeport School District,"Biotechnology, Research & Zoological Studies Magnet High School",Public Schools,0150611,840 Old Town Road,Bridgeport,06606,203-275-3413,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2013-08-29T00:00:00.000,1,"840 Old Town Road
Bridgeport, CT 06606
(41.225004988, -73.184987974)"
Odyssey Community School District,Odyssey Community School,Public Charter Schools,2635113,579 Middle Tpke West,Manchester,06040,860-645-1234,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1997-07-01T00:00:00.000,0,"579 Middle Tpke West
Manchester, CT 06040
(41.781791012, -72.550481005)"
New Hartford School District,New Hartford Elementary School,Public Schools,0920211,40 Wickett St.,New Hartford,06057-3326,860-379-0713,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"40 Wickett St.
New Hartford, CT 06057-3326
(41.877900854, -72.971178224)"
New Haven School District,Mauro-Sheridan Magnet School,Public Schools,0931911,191 Fountain St.,New Haven,06515,475-220-2800,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2009-09-02T00:00:00.000,1,"191 Fountain St.
New Haven, CT 06515
(41.32742602, -72.96581797)"
Columbia School District,Horace W. Porter School,Public Schools,0300111,3 Schoolhouse Road,Columbia,06237-0166,860-228-9493,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1984-07-01T00:00:00.000,0,"3 Schoolhouse Road
Columbia, CT 06237-0166
(41.703283334, -72.299803392)"
Naugatuck School District,Salem School,Public Schools,0880611,124 Meadow St.,Naugatuck,06770,203-720-5242,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"124 Meadow St.
Naugatuck, CT 06770
(41.490793001, -73.05714199)"
Brass City Charter School District,Brass City Charter School District,Public Charter School Districts,2900013,289 Willow St.,Waterbury,06710,203-527-5942,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2013-09-04T00:00:00.000,,"289 Willow St.
Waterbury, CT 06710
(41.565384982, -73.049022021)"
Stamford School District,Davenport Ridge School,Public Schools,1352011,1300 Newfield Ave.,Stamford,06905,203-977-4291,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"1300 Newfield Ave.
Stamford, CT 06905
(41.104561985, -73.533325034)"
Ridgefield School District,Ridgefield High School,Public Schools,1186111,700 North Salem Rd.,Ridgefield,06877-1716,203-894-5750,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1984-07-01T00:00:00.000,0,"700 North Salem Rd.
Ridgefield, CT 06877-1716
(41.324785909, -73.527136674)"
Milford School District,Orange Avenue School,Public Schools,0840811,260 Orange Ave.,Milford,06460-2196,203-783-3537,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"260 Orange Ave.
Milford, CT 06460-2196
(41.238495997, -73.050581977)"
Norwich Free Academy District,Norwich Free Academy,Endowed and Incorporated Academies Schools,9016122,305 Broadway,Norwich,06360,860-887-2505,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2000-07-01T00:00:00.000,0,"305 Broadway
Norwich, CT 06360
(41.537030009, -72.082251968)"
Stonington School District,Stonington High School,Public Schools,1376111,176 South Broad St.,Pawcatuck,06379-1924,860-599-5781,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1984-07-01T00:00:00.000,0,"176 South Broad St.
Pawcatuck, CT 06379-1924
(41.361770994, -71.856384991)"
Preston School District,Preston Plains School,Public Schools,1145111,1 Route 164,Preston,06365,860-889-3831,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1997-07-01T00:00:00.000,0,"1 Route 164
Preston, CT 06365
(41.489137994, -71.986623002)"
Simsbury School District,Central School,Public Schools,1280111,29 Massaco St.,Simsbury,06070-2118,860-658-4732,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"29 Massaco St.
Simsbury, CT 06070-2118
(41.881690937, -72.804042373)"
