District name,Category,Student group,2021-2022 student count - year to date,2021-2022 attendance rate - year to date,2020-2021 student count,2020-2021 attendance rate,2019-2020 student count,2019-2020 attendance rate,Coordinates
Bloomfield School District,High Needs,Students With High Needs,1090,0.9219,1199.0,0.9278,1321.0,0.9489,"41.827886995, -72.726157984)"
Bolton School District,,All Students,745,0.9433,751.0,0.9483,767.0,0.949,"41.760925018, -72.418223961)"
Bolton School District,Students With Disabilities,Students With Disabilities,80,0.9148,82.0,0.8851,87.0,0.9303,"41.760925018, -72.418223961)"
Bolton School District,Free/Reduced Lunch,Free Meal Eligible,149,0.9034,157.0,0.8677,170.0,0.9344,"41.760925018, -72.418223961)"
Bolton School District,Free/Reduced Lunch,Reduced Price Meal Eligible,31,0.9169,26.0,0.9057,22.0,0.9229,"41.760925018, -72.418223961)"
Bolton School District,Free/Reduced Lunch,Free/Reduced Price Meal Eligible,180,0.9058,183.0,0.8731,192.0,0.933,"41.760925018, -72.418223961)"
Bolton School District,Race/Ethnicity,All other races,51,0.9394,53.0,0.9311,49.0,0.9428,"41.760925018, -72.418223961)"
Bolton School District,Race/Ethnicity,Black or African American,36,0.922,36.0,0.8748,41.0,0.9379,"41.760925018, -72.418223961)"
Bolton School District,Race/Ethnicity,Hispanic/Latino of any race,89,0.9131,82.0,0.8991,88.0,0.9444,"41.760925018, -72.418223961)"
Bolton School District,Race/Ethnicity,White,569,0.9496,580.0,0.9613,589.0,0.9509,"41.760925018, -72.418223961)"
Bolton School District,High Needs,Students Without High Needs,509,0.9566,507.0,0.9755,520.0,0.9559,"41.760925018, -72.418223961)"
Bolton School District,High Needs,Students With High Needs,228,0.9137,236.0,0.8896,247.0,0.9344,"41.760925018, -72.418223961)"
Bozrah School District,,All Students,159,0.9433,163.0,0.9649,170.0,0.9573,"41.56325602, -72.153796038)"
Bozrah School District,Students With Disabilities,Students With Disabilities,28,0.9287,26.0,0.9403,30.0,0.9325,"41.56325602, -72.153796038)"
Bozrah School District,Free/Reduced Lunch,Free/Reduced Price Meal Eligible,64,0.9394,63.0,0.9587,70.0,0.9483,"41.56325602, -72.153796038)"
Bozrah School District,Race/Ethnicity,Hispanic/Latino of any race,24,0.9421,,,,,"41.56325602, -72.153796038)"
Bozrah School District,Race/Ethnicity,White,118,0.9409,129.0,0.9668,132.0,0.9569,"41.56325602, -72.153796038)"
Bozrah School District,High Needs,Students Without High Needs,77,0.9461,83.0,0.9731,85.0,0.9667,"41.56325602, -72.153796038)"
Bozrah School District,High Needs,Students With High Needs,80,0.9406,78.0,0.956,85.0,0.9478,"41.56325602, -72.153796038)"
Branford School District,,All Students,2527,0.9268,2531.0,0.949,2678.0,0.9658,"41.284517004, -72.789033993)"
Branford School District,Students With Disabilities,Students With Disabilities,322,0.914,325.0,0.9312,353.0,0.9556,"41.284517004, -72.789033993)"
Branford School District,Free/Reduced Lunch,Free Meal Eligible,693,0.9012,756.0,0.9165,810.0,0.9614,"41.284517004, -72.789033993)"
Branford School District,Free/Reduced Lunch,Reduced Price Meal Eligible,193,0.9302,198.0,0.9538,176.0,0.9632,"41.284517004, -72.789033993)"
Branford School District,Free/Reduced Lunch,Free/Reduced Price Meal Eligible,886,0.9075,954.0,0.9244,986.0,0.9617,"41.284517004, -72.789033993)"
Branford School District,English Learners,English Learners,166,0.9358,148.0,0.9503,151.0,0.9598,"41.284517004, -72.789033993)"
Branford School District,Race/Ethnicity,All other races,290,0.9394,278.0,0.9608,293.0,0.97,"41.284517004, -72.789033993)"
Branford School District,Race/Ethnicity,Black or African American,97,0.9248,105.0,0.9317,101.0,0.9714,"41.284517004, -72.789033993)"
Branford School District,Race/Ethnicity,Hispanic/Latino of any race,377,0.9062,345.0,0.9163,342.0,0.9561,"41.284517004, -72.789033993)"
Branford School District,Race/Ethnicity,White,1763,0.9293,1803.0,0.9544,1942.0,0.9665,"41.284517004, -72.789033993)"
Branford School District,High Needs,Students Without High Needs,1389,0.9389,1342.0,0.965,1478.0,0.9693,"41.284517004, -72.789033993)"
Branford School District,High Needs,Students With High Needs,1104,0.913,1154.0,0.931,1200.0,0.9614,"41.284517004, -72.789033993)"
Bridgeport School District,,All Students,18482,0.9008,18244.0,0.9005,19423.0,0.9367,"41.17816201, -73.160356997)"
Bridgeport School District,Homelessness,Students Experiencing Homelessness,123,0.8455,92.0,0.7791,107.0,0.8635,"41.17816201, -73.160356997)"
Bridgeport School District,Students With Disabilities,Students With Disabilities,3258,0.8758,3283.0,0.8692,3648.0,0.9196,"41.17816201, -73.160356997)"
Bridgeport School District,Free/Reduced Lunch,Free Meal Eligible,9915,0.8868,10597.0,0.8838,12851.0,0.9287,"41.17816201, -73.160356997)"
Bridgeport School District,Free/Reduced Lunch,Reduced Price Meal Eligible,1559,0.923,1342.0,0.9291,1364.0,0.9565,"41.17816201, -73.160356997)"
Bridgeport School District,Free/Reduced Lunch,Free/Reduced Price Meal Eligible,11474,0.8917,11939.0,0.8889,14215.0,0.9314,"41.17816201, -73.160356997)"
Bridgeport School District,English Learners,English Learners,4177,0.9125,3692.0,0.9066,4240.0,0.9433,"41.17816201, -73.160356997)"
Bridgeport School District,Race/Ethnicity,All other races,811,0.9245,780.0,0.9399,840.0,0.9538,"41.17816201, -73.160356997)"
Bridgeport School District,Race/Ethnicity,Black or African American,5550,0.8991,5791.0,0.894,6312.0,0.9369,"41.17816201, -73.160356997)"
Bridgeport School District,Race/Ethnicity,Hispanic/Latino of any race,10368,0.8988,9724.0,0.8978,9979.0,0.934,"41.17816201, -73.160356997)"
Bridgeport School District,Race/Ethnicity,White,1753,0.907,1949.0,0.9175,2292.0,0.9416,"41.17816201, -73.160356997)"
Bridgeport School District,High Needs,Students Without High Needs,3590,0.9238,3626.0,0.938,3106.0,0.9555,"41.17816201, -73.160356997)"
Bridgeport School District,High Needs,Students With High Needs,13849,0.8949,14008.0,0.8915,16317.0,0.9331,"41.17816201, -73.160356997)"
Bristol School District,,All Students,7439,0.9251,7504.0,0.9123,7684.0,0.9482,"41.700488018, -72.923857995)"
Bristol School District,Homelessness,Students Experiencing Homelessness,65,0.8904,57.0,0.8217,116.0,0.8913,"41.700488018, -72.923857995)"
Bristol School District,Students With Disabilities,Students With Disabilities,1417,0.9034,1466.0,0.8716,1552.0,0.9294,"41.700488018, -72.923857995)"
Bristol School District,Free/Reduced Lunch,Free Meal Eligible,3545,0.9063,3521.0,0.8747,3721.0,0.9368,"41.700488018, -72.923857995)"
Bristol School District,Free/Reduced Lunch,Reduced Price Meal Eligible,436,0.9292,530.0,0.9194,412.0,0.951,"41.700488018, -72.923857995)"
Bristol School District,Free/Reduced Lunch,Free/Reduced Price Meal Eligible,3981,0.9088,4051.0,0.8806,4133.0,0.9382,"41.700488018, -72.923857995)"
Bristol School District,English Learners,English Learners,423,0.9127,397.0,0.8856,440.0,0.9428,"41.700488018, -72.923857995)"
Bristol School District,Race/Ethnicity,All other races,627,0.9288,610.0,0.9193,623.0,0.9564,"41.700488018, -72.923857995)"
Bristol School District,Race/Ethnicity,Black or African American,572,0.9268,559.0,0.8965,561.0,0.9487,"41.700488018, -72.923857995)"
Bristol School District,Race/Ethnicity,Hispanic/Latino of any race,2614,0.9095,2493.0,0.8772,2430.0,0.9401,"41.700488018, -72.923857995)"
Bristol School District,Race/Ethnicity,White,3626,0.9353,3842.0,0.9358,4070.0,0.9515,"41.700488018, -72.923857995)"
Bristol School District,High Needs,Students Without High Needs,2800,0.949,2802.0,0.956,2977.0,0.9618,"41.700488018, -72.923857995)"
Bristol School District,High Needs,Students With High Needs,4510,0.911,4590.0,0.8855,4707.0,0.9393,"41.700488018, -72.923857995)"
Brookfield School District,,All Students,2545,0.9368,2559.0,0.9559,2574.0,0.9706,"41.467159009, -73.398507989)"
Brookfield School District,Students With Disabilities,Students With Disabilities,350,0.9153,355.0,0.9311,369.0,0.9673,"41.467159009, -73.398507989)"
Brookfield School District,Free/Reduced Lunch,Free Meal Eligible,379,0.9133,408.0,0.9317,447.0,0.9669,"41.467159009, -73.398507989)"
Brookfield School District,Free/Reduced Lunch,Reduced Price Meal Eligible,135,0.9301,121.0,0.9407,91.0,0.9693,"41.467159009, -73.398507989)"
Brookfield School District,Free/Reduced Lunch,Free/Reduced Price Meal Eligible,514,0.9177,529.0,0.9337,538.0,0.9673,"41.467159009, -73.398507989)"
Brookfield School District,English Learners,English Learners,105,0.9374,90.0,0.9464,115.0,0.9708,"41.467159009, -73.398507989)"
Brookfield School District,Race/Ethnicity,All other races,242,0.9478,253.0,0.9713,233.0,0.9794,"41.467159009, -73.398507989)"
Brookfield School District,Race/Ethnicity,Black or African American,74,0.9488,67.0,0.9511,57.0,0.9735,"41.467159009, -73.398507989)"
Brookfield School District,Race/Ethnicity,Hispanic/Latino of any race,366,0.9246,325.0,0.9434,299.0,0.967,"41.467159009, -73.398507989)"
Brookfield School District,Race/Ethnicity,White,1863,0.9372,1914.0,0.9562,1985.0,0.97,"41.467159009, -73.398507989)"
Brookfield School District,High Needs,Students Without High Needs,1721,0.9449,1725.0,0.9644,1740.0,0.9719,"41.467159009, -73.398507989)"
Brookfield School District,High Needs,Students With High Needs,801,0.9201,803.0,0.9373,834.0,0.9677,"41.467159009, -73.398507989)"
Brooklyn School District,,All Students,804,0.9204,775.0,0.9337,809.0,0.9526,"41.785288989, -71.937644022)"
Brooklyn School District,Students With Disabilities,Students With Disabilities,137,0.891,118.0,0.8815,127.0,0.9348,"41.785288989, -71.937644022)"
Brooklyn School District,Free/Reduced Lunch,Free Meal Eligible,206,0.8854,243.0,0.8976,270.0,0.9453,"41.785288989, -71.937644022)"
Brooklyn School District,Free/Reduced Lunch,Reduced Price Meal Eligible,55,0.9113,68.0,0.926,66.0,0.9457,"41.785288989, -71.937644022)"
Brooklyn School District,Free/Reduced Lunch,Free/Reduced Price Meal Eligible,261,0.8907,311.0,0.904,336.0,0.9454,"41.785288989, -71.937644022)"
Brooklyn School District,Race/Ethnicity,Hispanic/Latino of any race,90,0.8878,96.0,0.911,91.0,0.9449,"41.785288989, -71.937644022)"
Brooklyn School District,Race/Ethnicity,White,635,0.925,602.0,0.937,626.0,0.9541,"41.785288989, -71.937644022)"
Brooklyn School District,High Needs,Students Without High Needs,446,0.9394,395.0,0.9598,431.0,0.9596,"41.785288989, -71.937644022)"
Brooklyn School District,High Needs,Students With High Needs,327,0.8959,356.0,0.905,378.0,0.9446,"41.785288989, -71.937644022)"
Canaan School District,,All Students,77,0.9431,72.0,0.9658,69.0,0.9607,"41.955409982, -73.359255033)"
Canaan School District,Free/Reduced Lunch,Free/Reduced Price Meal Eligible,23,0.942,22.0,0.9513,22.0,0.9531,"41.955409982, -73.359255033)"
Canaan School District,High Needs,Students Without High Needs,50,0.9416,41.0,0.9793,41.0,0.9618,"41.955409982, -73.359255033)"
Canaan School District,High Needs,Students With High Needs,27,0.9458,25.0,0.9566,28.0,0.9592,"41.955409982, -73.359255033)"
Canterbury School District,,All Students,429,0.9148,414.0,0.9601,431.0,0.9593,"41.698566005, -71.97726796)"
Canterbury School District,Students With Disabilities,Students With Disabilities,45,0.8915,50.0,0.9562,54.0,0.9467,"41.698566005, -71.97726796)"
Canterbury School District,Free/Reduced Lunch,Free Meal Eligible,89,0.901,87.0,0.9501,142.0,0.9482,"41.698566005, -71.97726796)"
Canterbury School District,Free/Reduced Lunch,Reduced Price Meal Eligible,35,0.8976,33.0,0.9519,29.0,0.9607,"41.698566005, -71.97726796)"
Canterbury School District,Free/Reduced Lunch,Free/Reduced Price Meal Eligible,124,0.9001,120.0,0.9506,171.0,0.9504,"41.698566005, -71.97726796)"
Canterbury School District,Race/Ethnicity,Hispanic/Latino of any race,36,0.9034,34.0,0.9324,28.0,0.9473,"41.698566005, -71.97726796)"
Canterbury School District,Race/Ethnicity,White,386,0.9162,369.0,0.9622,387.0,0.9602,"41.698566005, -71.97726796)"
Canterbury School District,High Needs,Students Without High Needs,265,0.9232,250.0,0.9645,232.0,0.9658,"41.698566005, -71.97726796)"
Canterbury School District,High Needs,Students With High Needs,151,0.899,149.0,0.9538,199.0,0.9516,"41.698566005, -71.97726796)"
Canton School District,,All Students,1462,0.9356,1510.0,0.9554,1553.0,0.9482,"41.822269988, -72.919080981)"
Canton School District,Students With Disabilities,Students With Disabilities,207,0.9092,206.0,0.9381,219.0,0.9397,"41.822269988, -72.919080981)"
Canton School District,Free/Reduced Lunch,Free/Reduced Price Meal Eligible,263,0.9233,235.0,0.9306,224.0,0.9434,"41.822269988, -72.919080981)"
Canton School District,Race/Ethnicity,All other races,78,0.93,84.0,0.9588,79.0,0.9421,"41.822269988, -72.919080981)"
Canton School District,Race/Ethnicity,Black or African American,89,0.8953,96.0,0.918,93.0,0.9324,"41.822269988, -72.919080981)"
Canton School District,Race/Ethnicity,Hispanic/Latino of any race,95,0.9156,100.0,0.939,117.0,0.9374,"41.822269988, -72.919080981)"
Canton School District,Race/Ethnicity,White,1200,0.9406,1230.0,0.9594,1264.0,0.9507,"41.822269988, -72.919080981)"
Canton School District,High Needs,Students Without High Needs,1018,0.9426,1104.0,0.9621,1145.0,0.9498,"41.822269988, -72.919080981)"
Canton School District,High Needs,Students With High Needs,437,0.9192,381.0,0.9351,408.0,0.9437,"41.822269988, -72.919080981)"
Chaplin School District,,All Students,143,0.9293,128.0,0.9459,125.0,0.9671,"41.751046987, -72.10517597)"
Chaplin School District,Free/Reduced Lunch,Free/Reduced Price Meal Eligible,67,0.9233,53.0,0.9383,62.0,0.9618,"41.751046987, -72.10517597)"
Chaplin School District,Race/Ethnicity,White,121,0.932,112.0,0.9478,107.0,0.9671,"41.751046987, -72.10517597)"
Chaplin School District,High Needs,Students Without High Needs,69,0.9361,61.0,0.9535,54.0,0.9731,"41.751046987, -72.10517597)"
Chaplin School District,High Needs,Students With High Needs,71,0.9219,61.0,0.9376,71.0,0.9621,"41.751046987, -72.10517597)"
Cheshire School District,,All Students,4119,0.9466,4119.0,0.9705,4099.0,0.957,"41.499783011, -72.902074015)"
Cheshire School District,Students With Disabilities,Students With Disabilities,527,0.9177,523.0,0.9377,533.0,0.9331,"41.499783011, -72.902074015)"
Cheshire School District,Free/Reduced Lunch,Free Meal Eligible,460,0.921,470.0,0.9431,462.0,0.9371,"41.499783011, -72.902074015)"
Cheshire School District,Free/Reduced Lunch,Reduced Price Meal Eligible,154,0.942,178.0,0.9628,138.0,0.9557,"41.499783011, -72.902074015)"
Cheshire School District,Free/Reduced Lunch,Free/Reduced Price Meal Eligible,614,0.9263,648.0,0.9484,600.0,0.9413,"41.499783011, -72.902074015)"
Cheshire School District,English Learners,English Learners,96,0.9484,77.0,0.9594,58.0,0.954,"41.499783011, -72.902074015)"
Cheshire School District,Race/Ethnicity,All other races,527,0.9485,527.0,0.9747,506.0,0.9632,"41.499783011, -72.902074015)"
Cheshire School District,Race/Ethnicity,Black or African American,135,0.942,128.0,0.9499,120.0,0.9536,"41.499783011, -72.902074015)"
Cheshire School District,Race/Ethnicity,Hispanic/Latino of any race,311,0.9358,267.0,0.965,249.0,0.9459,"41.499783011, -72.902074015)"
